iter_name,gi,pj,sk,cl,gmod_pa,phi_rad,psi_rad,cval_pa,x_min,x_max,spread,z_max,n_floor,retained_frac,ranoff_frac
grid_g5_p2_s2_c2,5,2,2,2,38539699.35995991,0.6,0.1166666666666666,1000.0,0.00377023,1.32003,1.31625977,0.146442,619,0.03260869565217391,0.006211180124223602
grid_g1_p2_s2_c4,1,2,2,4,2075781.6311124284,0.6,0.1166666666666666,2000.0,0.00466599,1.58832,1.58365401,0.14912699999999998,626,0.024844720496894408,0.0015527950310559005
grid_g4_p2_s2_c3,4,2,2,3,18566355.33445113,0.6,0.1166666666666666,1500.0,0.00208086,1.18035,1.17826914,0.15465099999999998,602,0.052795031055900624,0.0
grid_g2_p2_s2_c4,2,2,2,4,4308869.380063765,0.6,0.1166666666666666,2000.0,0.00308379,1.41176,1.4086762099999999,0.174175,619,0.023291925465838508,0.0
grid_g6_p2_s2_c2,6,2,2,2,80000000.00000003,0.6,0.1166666666666666,1000.0,0.0014609,1.13132,1.1298591,0.135438,610,0.034161490683229816,0.003105590062111801
grid_g3_p2_s2_c4,3,2,2,4,8944271.90999916,0.6,0.1166666666666666,2000.0,0.000865311,1.24681,1.2459446889999999,0.18501099999999998,619,0.03260869565217391,0.0
grid_g0_p2_s2_c5,0,2,2,5,1000000.0,0.6,0.1166666666666666,2500.0,0.00289511,1.33669,1.3337948899999998,0.164249,620,0.031055900621118012,0.0015527950310559005
grid_g5_p2_s2_c3,5,2,2,3,38539699.35995991,0.6,0.1166666666666666,1500.0,0.00049374,1.21931,1.2188162599999999,0.177112,623,0.03260869565217391,0.0
grid_g4_p2_s2_c4,4,2,2,4,18566355.33445113,0.6,0.1166666666666666,2000.0,0.000526907,1.1358,1.135273093,0.151442,627,0.024844720496894408,0.0015527950310559005
grid_g1_p2_s2_c5,1,2,2,5,2075781.6311124284,0.6,0.1166666666666666,2500.0,0.00210877,1.28113,1.2790212300000001,0.200516,602,0.037267080745341616,0.013975155279503106
grid_g2_p2_s2_c5,2,2,2,5,4308869.380063765,0.6,0.1166666666666666,2500.0,0.000678927,1.19697,1.196291073,0.178528,624,0.029503105590062112,0.0015527950310559005
grid_g3_p2_s2_c5,3,2,2,5,8944271.90999916,0.6,0.1166666666666666,2500.0,0.000242162,1.24428,1.2440378380000001,0.156004,631,0.018633540372670808,0.0
grid_g0_p2_s2_c6,0,2,2,6,1000000.0,0.6,0.1166666666666666,3000.0,0.000337772,1.0714,1.071062228,0.170118,614,0.034161490683229816,0.004658385093167702
grid_g6_p2_s2_c3,6,2,2,3,80000000.00000003,0.6,0.1166666666666666,1500.0,0.00278005,1.38341,1.38062995,0.142307,630,0.021739130434782608,0.0
grid_g5_p2_s2_c4,5,2,2,4,38539699.35995991,0.6,0.1166666666666666,2000.0,0.000749025,0.983243,0.982493975,0.177229,625,0.015527950310559006,0.0
grid_g1_p2_s2_c6,1,2,2,6,2075781.6311124284,0.6,0.1166666666666666,3000.0,0.00287478,1.19638,1.19350522,0.17479599999999998,617,0.034161490683229816,0.006211180124223602
grid_g4_p2_s2_c5,4,2,2,5,18566355.33445113,0.6,0.1166666666666666,2500.0,0.00242,1.00206,0.99964,0.163443,622,0.034161490683229816,0.0
grid_g2_p2_s2_c6,2,2,2,6,4308869.380063765,0.6,0.1166666666666666,3000.0,0.00014886,1.64927,1.64912114,0.176147,626,0.023291925465838508,0.004658385093167702
grid_g0_p2_s3_c0,0,2,3,0,1000000.0,0.6,0.175,0.0,0.00524692,1.972,1.96675308,0.21481999999999998,599,0.05434782608695652,0.015527950310559006
grid_g6_p2_s2_c4,6,2,2,4,80000000.00000003,0.6,0.1166666666666666,2000.0,0.00206335,1.02341,1.02134665,0.14829299999999998,628,0.024844720496894408,0.0
grid_g3_p2_s2_c6,3,2,2,6,8944271.90999916,0.6,0.1166666666666666,3000.0,0.00175988,1.25154,1.24978012,0.175757,629,0.013975155279503106,0.007763975155279503
grid_g5_p2_s2_c5,5,2,2,5,38539699.35995991,0.6,0.1166666666666666,2500.0,0.00054219,0.903563,0.90302081,0.17177699999999999,622,0.034161490683229816,0.0
grid_g1_p2_s3_c0,1,2,3,0,2075781.6311124284,0.6,0.175,0.0,0.00185261,1.91737,1.91551739,0.197146,597,0.07142857142857142,0.0
